VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__
V02998,48891,18382,60" X 100' PREMIUM FILM ROLL - 35%,6784.00,40,6784.00,40,0,0,,19,,18382,110,,,
V02998,48891,18385,72" X 100' PREMIUM FILM ROLL - 20%,10176.00,50,10176.00,50,0,0,,19,,18385,110,,,
V02998,48891,18386,72" X 100' PREMIUM FILM ROLL - 35%,12211.20,60,12211.20,60,0,0,,19,,18386,110,,,
V02998,48891,18387,72" X 100' PREMIUM FILM ROLL - 5%,6105.60,30,6105.60,30,0,0,,19,,18387,110,,,
V02998,48891,18394,60" X 100' PREMIUM CERAMIC FILM ROLL - 50%,7950.00,20,7950.00,20,0,0,,19,,18394,110,,,
V02998,48891,18393,60" X 100' PREMIUM CERAMIC FILM ROLL - 5%,11925.00,30,11925.00,30,0,0,,19,,18393,110,,,
V02998,48891,18391,60" X 100' PREMIUM CERAMIC FILM ROLL - 18%,11925.00,30,11925.00,30,0,0,,19,,18391,110,,,
V02998,48891,18392,60" X 100' PREMIUM CERAMIC TINT ROLL - 38%,15900.00,40,15900.00,40,0,0,,19,,18392,110,,,
V02998,48891,18395,60" X 100" PREMIUM CERAMIC FILM ROLL - 86%,11925.00,30,11925.00,30,0,0,,19,,18395,110,,,
V02998,48891,18396,72" X 100' PREMIUM CERAMIC ROLL - 38%,57240.00,120,57240.00,120,0,0,,19,,18396,110,,,
V02998,48891,18397,72" X 100' PREMIUM CERAMIC FILM ROLL - 50%,57240.00,120,57240.00,120,0,0,,19,,18397,110,,,
V02998,48891,25577,72" X 100' PREMIUM CERAMIC ROLL - 18%,57240.00,120,57240.00,120,0,0,,19,,25577,110,,,
V02998,48891,18391,60" X 100' PREMIUM CERAMIC FILM ROLL - 18%,23850.00,60,23850.00,60,0,0,,19,,18391,110,,,
V02193,48906,,,4576.223,,4576.223,,0,0,,12,,,3286,,,-732.195
V02193,48906,24202,IVA,707.398,-1,707.398,-1,0,0,,12,,24202,2923,,,
V03245,49017,,,1897.50,,1897.50,,0,0,,19,,,1028,,,
V03245,49017,,,1540.00,,1540.00,,0,0,,19,,,1028,,,
V03245,49017,,,1980.00,,1980.00,,0,0,,19,,,1028,,,
V03245,49017,,,880.00,,880.00,,0,0,,19,,,1028,,,
V03246,49018,,,1897.50,,1897.50,,0,0,,19,,,1028,,,
V03246,49018,,,1540.00,,1540.00,,0,0,,19,,,1028,,,
V03246,49018,,,1980.00,,1980.00,,0,0,,19,,,1028,,,
V03246,49018,,,880.00,,880.00,,0,0,,19,,,1028,,,
V02669,49032,,For Flammable Drum Dispensing,299.00,,299.00,,0,0,,19,,,1899,,,
V02669,49032,,Cartridge Fill,520.00,,520.00,,0,0,,19,,,1899,,,
V02669,49032,,,24.67,,24.67,,0,0,,19,,,1116,,,
V03579,49047,13108,LINE-X HORZ. DOOR - LINE-X DROP DOWN HORZ. DOORVIN # N/ANote: NOV,342.00,4,342.00,4,0,0,,2,,13108,1892,,,
V02891,49059,10780,Tru-Line Wire Trim HD Case/10Franchise,4325.00,500,4325.00,500,0,0,,19,,10780,110,,,
V03792,49069,,,20952.333,,20952.333,,0,0,,12,,,3290,,,-3352.373
V03792,49069,24202,IVA,3238.839,-1,3238.839,-1,0,0,,12,,24202,2923,,,
V02458,49090,2911,21830-00 Switchpressurehigh,488.40,2,488.40,2,0,0,,19,,2911,110,,,
V02314,49155,24480,SPRING CHECK VALVE,8.484,5,8.484,5,0,0,,12,,24480,3705,,,.00
V02314,49155,24485,VALVE CHECK INLET,90.65,4,90.65,4,0,0,,12,,24485,3710,,,.00
V02314,49155,24505,BOLT SPECIAL5/16-24,54.068,5,54.068,5,0,0,,12,,24505,3730,,,.00
V02314,49155,24518,KIT GUNCLEANINGFUSION,370.999,6,370.999,6,0,0,,12,,24518,3743,,,.00
V02314,49155,24551,KIT REPAIR A CARTRIDGE,667.511,11,667.511,11,0,0,,12,,24551,3776,,,.00
V02314,49155,24552,KIT REPAIR B CARTRDIGE,667.511,11,667.511,11,0,0,,12,,24552,3777,,,.00
V02314,49155,24553,KIT REPAIR CHECK VALVE ASSY,550.46,11,550.46,11,0,0,,12,,24553,3778,,,.00
V02314,49155,24571,KIT REPAIR CHECK VALVE ISO,500.418,10,500.418,10,0,0,,12,,24571,3796,,,.00
V02314,49155,24594,KIT BULKSIDE SEAL HSG ORING,368.555,11,368.555,11,0,0,,12,,24594,3819,,,.00
V02314,49155,24595,KIT BULKAIR CAP SMALL ORING,301.631,12,301.631,12,0,0,,12,,24595,3820,,,.00
V02314,49155,24678,TIP SPRAYAP638,386.529,6,386.529,6,0,0,,12,,24678,3904,,,.00
V02314,49155,25553,SWITCH REED W/CABLE,71.324,2,71.324,2,0,0,,12,,25553,4243,,,.00
V02314,49155,25554,KIT MAGNET DISC,25.999,2,25.999,2,0,0,,12,,25554,4244,,,.00
V02314,49155,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V02994,49696,18754,RENEWAL PRO COMBO ANNUAL SUBSCRIPTON,950.00,1,950.00,1,0,0,,19,,18754,110,,,
V02669,49145,,,133.20,,133.20,,0,0,,19,,,1083,,,
V02669,49145,,,360.00,,360.00,,0,0,,19,,,1083,,,
V02669,49145,,,312.00,,312.00,,0,0,,19,,,1897,,,
V02669,49145,,,55.44,,55.44,,0,0,,19,,,1116,,,
V03111,49190,,,1744.916,,1744.916,,0,0,,12,,,2919,,,.00
V03111,49190,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03024,49314,25571,$0.25/GA Royalty to Matlor from GEO 491 sales to Butch's Oilfield Services - 1st QTR 2019,2250.00,1,2250.00,1,0,0,,19,,25571,1962,,,
V03024,49314,25571,$0.25/GA Royalty to Matlor from GEO 491 sales to Butch's Oilfield Services - 2nd QTR 2019,.01,1,.01,1,0,0,,19,,25571,1962,,,
V03024,49314,25571,$0.25/GA Royalty to Matlor from GEO 491 sales to Butch's Oilfield Services - 3rd QTR 2019,.01,1,.01,1,0,0,,19,,25571,1962,,,
V03024,49314,25571,$0.25/GA Royalty to Matlor from GEO 491 sales to Butch's Oilfield Services - 4th QTR 2019,.01,1,.01,1,0,0,,19,,25571,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Feb 2019,1000.00,1,1000.00,1,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Mar 2019,1000.00,1,1000.00,1,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - April 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - May 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - June 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - July 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Aug 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Sep 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Oct 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Nov 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V03024,49314,25572,$1000 Royalty to Matlor from GEO Robot Rental to Butch's Oilfield Services - Dec 2019,2000.00,2,2000.00,2,0,0,,19,,25572,1962,,,
V01002,49222,,,142.53,,142.53,,0,0,,2,,,1084,,,
V02891,49267,22235,UL KG "A" ISO 5 Gal Pail ,825.00,141,825.00,141,0,0,,19,,22235,110,,,
V02891,49267,22236,UL KG "B" Resin 5 Gal Pail Custom - GRANITE CRYSTAL,300.00,44,300.00,44,0,0,,19,,22236,110,,,
V02891,49267,22236,UL KG "B" Resin 5 Gal Pail Custom - GOBI,300.00,44,300.00,44,0,0,,19,,22236,110,,,
V02891,49267,2169,Disposable Nitrile Gloves Case/1000,53.50,10,53.50,10,0,0,,19,,2169,110,,,
V02891,49267,3693,Brake Clean Case / 12 - Cans,41.64,24,41.64,24,0,0,,19,,3693,110,,,
V03149,49343,,,315.519,,315.519,,0,0,,12,,,3285,,,-50.483
V03149,49343,24202,IVA,48.773,-1,48.773,-1,0,0,,12,,24202,2923,,,
V02458,49309,25570,KIT FLOW METER HG6000HR,7404.00,2,7404.00,2,0,0,,19,,25570,110,,,
V02458,49309,2804,Pump Transfer 2:1,2238.00,2,2238.00,2,0,0,,19,,2804,110,,,
V02458,49309,25568,KIT  P2 ELITE WITH CHOPPER1-169970 FITTING LINE AIR1-15B295 HOSEAIR 50 FT1-15B772 HOSE AIR 18 INCH1-24E433 KITORING009VTN ETP61-24E448 KITCARTRIDGE4 BLADE1-24E449 KITCARTRIDGE8 BLADE1-24E512 KITBLADE CUTTER ASSY1-24F602 KIT CARTRIDGE 6 BLADE1-24H271 KIT CUTTER HEAD KIT1-GC0721 BLOCKASSYCHOPPER1-GCP3RA GUNASSYGUN PROBLER P21-16M106 LUBRICANT TUBE 1 OZ1-GC1938 KITSPRAYFLAT PROBLER 21-GC2601 KITSPRAY TIPTC5250,3912.00,1,3912.00,1,0,0,,19,,25568,110,,,
V02458,49309,13996,24J318 KIT ELECTRONICS FLOW METER,1332.00,1,1332.00,1,0,0,,19,,13996,110,,,
V02458,49309,13999,24J415 KIT MODULE GATEWAY GMS CGM.,337.20,1,337.20,1,0,0,,19,,13999,110,,,
V02458,49309,2456,TOKEN GCA UPGRADEGMS HFR ADM32,76.80,1,76.80,1,0,0,,19,,2456,110,,,
V02458,49309,25566,VACPUMPASSY 6.9CFM1STG 115/1PHNOCONT,13584.00,2,13584.00,2,0,0,,19,,25566,110,,,
V02458,49309,25567,MODULE TANK 75LAGTSLGLV,28464.00,2,28464.00,2,0,0,,19,,25567,110,,,
V02458,49309,25594,KITVACUUM SINGLE OFFBOARD*2 were received in error prior to inventory.  Corrected - Regina ,1075.20,4,1075.20,4,0,0,,19,,25594,110,,,
V02458,49309,25567,MODULE TANK 75LAGTSLGLV,28464.00,2,28464.00,2,0,0,,19,,25567,110,,,
V03253,49340,,,359.65,,359.65,,0,0,,12,,,3286,,,-57.544
V03253,49340,24202,IVA,55.595,-1,55.595,-1,0,0,,12,,24202,2923,,,
V03253,49341,,,15.24,,15.24,,0,0,,12,,,3286,,,-2.438
V03253,49341,24202,IVA,2.356,-1,2.356,-1,0,0,,12,,24202,2923,,,
V03800,49357,,,7.099,,7.099,,0,0,,12,,,3282,,,.00
V03800,49357,,,40.35,,40.35,,0,0,,12,,,3283,,,.00
V03800,49357,,,54.605,,54.605,,0,0,,12,,,3257,,,.00
V03800,49357,,,17.136,,17.136,,0,0,,12,,,3266,,,.00
V03800,49357,,,7.978,,7.978,,0,0,,12,,,3254,,,.00
V03800,49357,,,16.651,,16.651,,0,0,,12,,,2924,,,.00
V03800,49357,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03801,49359,,,28.502,,28.502,,0,0,,12,,,3269,,,.00
V03801,49359,,,58.793,,58.793,,0,0,,12,,,3283,,,.00
V03801,49359,,,.385,,.385,,0,0,,12,,,3282,,,.00
V03801,49359,,,8.162,,8.162,,0,0,,12,,,2924,,,.00
V03801,49359,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03802,49360,,PUBLICACION EN EL NORTE,262.932,,262.932,,0,0,,12,,,3285,,,-42.069
V03802,49360,24202,IVA,40.644,-1,40.644,-1,0,0,,12,,24202,2923,,,
V02226,49383,,,14786.275,,14786.275,,0,0,,12,,,2919,,,.00
V02226,49383,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03111,49384,,,1244.532,,1244.532,,0,0,,12,,,2919,,,.00
V03111,49384,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03817,49608,,,100.278,,100.278,,0,0,,12,,,3266,,,-16.045
V03817,49608,24202,IVA,15.501,-1,15.501,-1,0,0,,12,,24202,2923,,,
V02197,49389,,,3313.518,,3313.518,,0,0,,12,,,3290,,,-530.163
V02197,49389,24202,IVA,512.208,-1,512.208,-1,0,0,,12,,24202,2923,,,
V03803,49391,,,25.403,,25.403,,0,0,,12,,,2912,,,.00
V03803,49391,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V02195,49398,10163,XS-200 RESIN NATURAL - 5 GAL PAIL,55.12,40,55.12,40,0,0,,2,,10163,110,,,
V03024,49402,21785,GEO PRODUCTION ROBOTSpray Robot Technical DescriptionThe spray robot consists of a mechanical steel weldment with servo motor driven 4 wheel drive for floor propulsion and a servo motor driven rack system for spray head cross-traverse.   The system is controlled by a Delta Tau servo control/amplifier system with a PC based user interface system.  The user interface PC utilizes a touch screen for data input.  The system software has a manual and automatic mode.  In manual mode the robot can be controlled via 3 joysticks (1 for the near drive wheels 1 for the far drive wheels and 1 for the cross-traverse of the spray carrier.  In automatic mode the system the user can select pre-programmed recipes.  The recipes can be programmed by selecting step distances step number and speeds.   ,54500.00,1,54500.00,1,0,0,,19,,21785,110,,,
V03024,49402,12855,NOTE: A weekly update call/email is required with Chris Mizedue date will be 8 weeks from payment generated for 50%,.00,1,.00,1,0,0,,19,,12855,1867,,,
V03804,49406,,VIATICOS A GUATEMALA,279.43,,279.43,,0,0,,12,,,2904,,,.00
V03804,49406,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03803,49408,,VIATICOS A GUATEMALA,254.028,,254.028,,0,0,,12,,,2912,,,.00
V03803,49408,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03805,49473,,,1808.927,,1808.927,,0,0,,12,,,3472,,,.00
V03805,49473,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03806,49475,,,213.066,,213.066,,0,0,,12,,,3272,,,-34.091
V03806,49475,24202,IVA,32.936,-1,32.936,-1,0,0,,12,,24202,2923,,,
V03807,49476,,,80.965,,80.965,,0,0,,12,,,3255,,,-12.955
V03807,49476,24202,IVA,12.516,-1,12.516,-1,0,0,,12,,24202,2923,,,
V03808,49479,,,184.959,,184.959,,0,0,,12,,,3270,,,-29.594
V03808,49479,24202,IVA,28.591,-1,28.591,-1,0,0,,12,,24202,2923,,,
V03809,49480,,,74.936,,74.936,,0,0,,12,,,3289,,,-11.99
V03809,49480,24202,IVA,11.584,-1,11.584,-1,0,0,,12,,24202,2923,,,
V03810,49481,,,452.244,,452.244,,0,0,,12,,,3285,,,-72.359
V03810,49481,24202,IVA,69.908,-1,69.908,-1,0,0,,12,,24202,2923,,,
V03811,49482,,,368.105,,368.105,,0,0,,12,,,3290,,,-58.897
V03811,49482,24202,IVA,56.902,-1,56.902,-1,0,0,,12,,24202,2923,,,
V03132,49496,24179,AIR REGULATOR 0-160 PSI,127.08,2,127.08,2,0,0,,19,,24179,110,,,
V03132,49496,27216,FITTING TUBE 1/4 X 1/8 NPT NCZ6842,13.12,2,13.12,2,0,0,,19,,27216,110,,,
V03771,49509,,,32.78,,32.78,,0,0,,2,,,1140,,,
V03771,49509,25622,Luxor MMGB6040 60" W x 40" H Double-sided mobile magnetic glass marker board - Drop ship,403.35,1,403.35,1,0,0,,2,,25622,110,,,
V03771,49509,11198,Freight Charge - Please prepay and add.,143.00,1,143.00,1,0,0,,2,,11198,1767,,,
V03771,49509,12855,NOTE:   REVISED PO FOR # A469542,.00,1,.00,1,0,0,,2,,12855,1867,,,
V02810,49515,14814,400302 KIT REPAIR UL AD FLUID PUMP COMPLETE,1056.00,8,1056.00,8,0,0,,19,,14814,110,,,
V02810,49515,14791,400112 TEMPERATURE SENSOR PROBE,270.00,3,270.00,3,0,0,,19,,14791,110,,,
V02810,49515,21371,FOOT VALVE HOUSING WASHER FOR 1.25" PUMP,18.00,3,18.00,3,0,0,,19,,21371,110,,,
V03813,49534,,,435.989,,435.989,,0,0,,12,,,3293,,,-69.758
V03813,49534,24202,IVA,67.396,-1,67.396,-1,0,0,,12,,24202,2923,,,
V03814,49536,,,457.355,,457.355,,0,0,,12,,,3293,,,-73.177
V03814,49536,24202,IVA,70.698,-1,70.698,-1,0,0,,12,,24202,2923,,,
V03814,49537,,,231.652,,231.652,,0,0,,12,,,3293,,,-37.065
V03814,49537,24202,IVA,35.809,-1,35.809,-1,0,0,,12,,24202,2923,,,
V03745,49542,13108,2019 FORD F150 S/CREWBAKFLIP G2 TONNEAU COVERVIN: 1FTEW1EP4KKD58564Factory Order #: 2635,855.00,1,855.00,1,0,0,,2,,13108,1892,,,
V03745,49542,13108,LABOR,57.00,1,57.00,1,0,0,,2,,13108,1892,,,
V03815,49594,,,262.932,,262.932,,0,0,,12,,,3285,,,-42.069
V03815,49594,24202,IVA,40.644,-1,40.644,-1,0,0,,12,,24202,2923,,,
V03816,49605,,,.421,,.421,,0,0,,12,,,3261,,,-.067
V03816,49605,24202,IVA,.065,-1,.065,-1,0,0,,12,,24202,2923,,,
V03816,49606,,,.002,,.002,,0,0,,12,,,3282,,,.00
V03816,49606,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03105,49601,17912,TCS 357 M SIDE B BLACK,850.00,50,850.00,50,0,0,,19,,17912,110,,,
V03105,49601,21669,TCS 357 M  SIDE B CLEAR,850.00,50,850.00,50,0,0,,19,,21669,110,,,
V03105,49601,17910,TCS 327 M  SIDE A DRUM,1700.00,100,1700.00,100,0,0,,19,,17910,110,,,
V02602,49612,16338,Spray Gun Handle,1075.00,5,1075.00,5,0,0,,19,,16338,110,,,
V03827,49620,,,101.611,,101.611,,0,0,,12,,,4112,,,.00
V03827,49620,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03828,49621,,,51.836,,51.836,,0,0,,12,,,3258,,,-8.294
V03828,49621,,,9.009,,9.009,,0,0,,12,,,3283,,,.00
V03828,49621,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03828,49621,24202,IVA,8.045,-1,8.045,-1,0,0,,12,,24202,2923,,,
V03800,49622,,,17.44,,17.44,,0,0,,12,,,3281,,,.00
V03800,49622,,,38.127,,38.127,,0,0,,12,,,3283,,,.00
V03800,49622,,,45.272,,45.272,,0,0,,12,,,3257,,,.00
V03800,49622,,,7.947,,7.947,,0,0,,12,,,3254,,,.00
V03800,49622,,,15.754,,15.754,,0,0,,12,,,2923,,,.00
V03800,49622,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03805,49666,,,38.655,,38.655,,0,0,,12,,,3282,,,.00
V03805,49666,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03832,49668,,,408.55,,408.55,,0,0,,12,,,3289,,,-65.368
V03832,49668,24202,IVA,63.405,-1,63.405,-1,0,0,,12,,24202,2923,,,
V03833,49669,,,47.664,,47.664,,0,0,,12,,,3280,,,-7.626
V03833,49669,24202,IVA,7.397,-1,7.397,-1,0,0,,12,,24202,2923,,,
V03106,49670,18502,AG XT 77 HP 1:1 COAT A DRUM 55 GALLONS,2752.86,1892,2752.86,1892,0,0,,19,,18502,110,,,
V03106,49670,15000,AG XT 77 COAT B BLACK 55 GAL DRUM,2552.48,1720,2552.48,1720,0,0,,19,,15000,110,,,
V03804,49683,,,25.403,,25.403,,0,0,,12,,,2904,,,.00
V03804,49683,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03828,49684,,,50.806,,50.806,,0,0,,12,,,3687,,,.00
V03828,49684,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03804,49685,,,25.403,,25.403,,0,0,,12,,,2904,,,.00
V03804,49685,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03105,49705,21861,UN2735 AMINES LIQUID CORROSIVE N.O.S. (POLYOXYPROPYLENEDIAMINE) CLASS8 PGIII UL KG 3607 SIDE B CLEAR (IPDI),3568.87,100,3568.87,100,0,0,,19,,21861,110,,,
V03105,49705,21164,PIGMENT : SHERWIN WILLIAMS SW7549 STUDIO TAUPE QTY : 2 GAL NOTE : PREMIX DRUMS,.00,2,.00,2,0,0,,19,,21164,110,,,
V03105,49705,16484,UN2735 AMINES LIQUID CORROSIVE N.O.S. (POLOXYPROPYLENEDIAMINE) CLASS8 PGIII UL GEO 491 COAT B BLACK,925.28,50,925.28,50,0,0,,19,,16484,110,,,
V03105,49705,22486,UL KG 3607 SIDE A DRUM,2954.68,100,2954.68,100,0,0,,19,,22486,110,,,
V03105,49705,14582,UL GEO 491 COAT A (55 GALLON DRUM),659.52,50,659.52,50,0,0,,19,,14582,110,,,
V02226,49706,,,1233.71,,1233.71,,0,0,,12,,,2919,,,.00
V02226,49706,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03834,49717,,,13.566,,13.566,,0,0,,12,,,3257,,,-2.171
V03834,49717,,,18.205,,18.205,,0,0,,12,,,3282,,,.00
V03834,49717,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03834,49717,24202,IVA,2.105,-1,2.105,-1,0,0,,12,,24202,2923,,,
V03800,49764,,,71.415,,71.415,,0,0,,12,,,3283,,,.00
V03800,49764,,,86.461,,86.461,,0,0,,12,,,3257,,,.00
V03800,49764,,,16.555,,16.555,,0,0,,12,,,2923,,,.00
V03800,49764,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03801,49770,,,19.642,,19.642,,0,0,,12,,,3282,,,.00
V03801,49770,,,25.286,,25.286,,0,0,,12,,,3283,,,.00
V03801,49770,,,41.85,,41.85,,0,0,,12,,,3272,,,.00
V03801,49770,,,3.924,,3.924,,0,0,,12,,,2923,,,.00
V03801,49770,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03803,49772,,,130.946,,130.946,,0,0,,12,,,3282,,,.00
V03803,49772,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03805,49776,,,17.18,,17.18,,0,0,,12,,,3282,,,.00
V03805,49776,,,13.731,,13.731,,0,0,,12,,,3283,,,.00
V03805,49776,,,11.261,,11.261,,0,0,,12,,,3260,,,.00
V03805,49776,,,1.034,,1.034,,0,0,,12,,,2923,,,.00
V03805,49776,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V02883,49786,,,16.50,,16.50,,0,0,,19,,,1084,,,
V02883,49786,,,8.81,,8.81,,0,0,,19,,,1084,,,
V02883,49786,,,6.14,,6.14,,0,0,,19,,,1084,,,
V02883,49786,,,219.99,,219.99,,0,0,,19,,,1084,,,
V02883,49786,,Fixed Asset to be calibrated yearly for Cartridge Fill Production,175.56,,175.56,,0,0,,19,,,1350,,,
V00535,49803,,,113.02,,113.02,,0,0,,2,,,1084,,,
V03804,49824,,,50.806,,50.806,,0,0,,12,,,2904,,,.00
V03804,49824,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03834,49825,,,27.093,,27.093,,0,0,,12,,,3257,,,-4.335
V03834,49825,24202,IVA,4.205,-1,4.205,-1,0,0,,12,,24202,2923,,,
V03810,49826,,,113.137,,113.137,,0,0,,12,,,3285,,,-18.102
V03810,49826,24202,IVA,17.558,-1,17.558,-1,0,0,,12,,24202,2923,,,
V03840,49827,,,730.676,,730.676,,0,0,,12,,,3285,,,-116.908
V03840,49827,24202,IVA,113.398,-1,113.398,-1,0,0,,12,,24202,2923,,,
V03490,49828,,,28.221,,28.221,,0,0,,12,,,3289,,,-4.516
V03490,49828,24202,IVA,4.38,-1,4.38,-1,0,0,,12,,24202,2923,,,
V03809,49829,,,98.675,,98.675,,0,0,,12,,,3289,,,-15.788
V03809,49829,24202,IVA,15.314,-1,15.314,-1,0,0,,12,,24202,2923,,,
V03805,49906,,,1808.927,,1808.927,,0,0,,12,,,3472,,,.00
V03805,49906,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03845,49928,,,156.506,,156.506,,0,0,,12,,,3262,,,.00
V03845,49928,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03845,49929,,,478.056,,478.056,,0,0,,12,,,3262,,,.00
V03845,49929,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03846,49930,,,1043.422,,1043.422,,0,0,,12,,,2921,,,.00
V03846,49930,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03847,49931,,,2506.287,,2506.287,,0,0,,12,,,2921,,,.00
V03847,49931,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03662,49942,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST2KS602636Decals Tailgate Lock Nerf Bars GPS GeoTab-GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03803,49971,,,152.417,,152.417,,0,0,,12,,,2912,,,.00
V03803,49971,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03849,49972,,,157.135,,157.135,,0,0,,12,,,3280,,,-25.142
V03849,49972,24202,IVA,24.387,-1,24.387,-1,0,0,,12,,24202,2923,,,
V03808,49973,,PAGO FACTURA 73324 LUZ GUADALUPE,331.067,,331.067,,0,0,,12,,,3270,,,-52.971
V03808,49973,24202,IVA,51.38,-1,51.38,-1,0,0,,12,,24202,2923,,,
V03800,50016,,PAGO F-12219 DE DHL MENSAJERIA JAVIER,21.482,,21.482,,0,0,,12,,,3281,,,-3.437
V03800,50016,24202,IVA,3.334,-1,3.334,-1,0,0,,12,,24202,2923,,,
V03800,50017,,,6.285,,6.285,,0,0,,12,,,3282,,,.00
V03800,50017,,,14.474,,14.474,,0,0,,12,,,3283,,,.00
V03800,50017,,,36.148,,36.148,,0,0,,12,,,3257,,,.00
V03800,50017,,,11.462,,11.462,,0,0,,12,,,3284,,,.00
V03800,50017,,,11.92,,11.92,,0,0,,12,,,3254,,,.00
V03800,50017,,,51.104,,51.104,,0,0,,12,,,3281,,,.00
V03800,50017,,,11.454,,11.454,,0,0,,12,,,2923,,,.00
V03800,50017,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03828,50020,,,20.195,,20.195,,0,0,,12,,,3687,,,.00
V03828,50020,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V02891,50024,3361,Static Mixer 250ml Cartridge 10/Pk,10.60,20,10.60,20,0,0,,19,,3361,110,,,
V02891,50024,7836,Spot Repair Kit 250ml - BLACK,48.20,2,48.20,2,0,0,,19,,7836,110,,,
V03828,50063,,,54.049,,54.049,,0,0,,12,,,3258,,,.00
V03828,50063,,,15.804,,15.804,,0,0,,12,,,3260,,,.00
V03828,50063,,,51.24,,51.24,,0,0,,12,,,3275,,,.00
V03828,50063,,,.843,,.843,,0,0,,12,,,3283,,,.00
V03828,50063,,,2.881,,2.881,,0,0,,12,,,3254,,,.00
V03828,50063,,,4.609,,4.609,,0,0,,12,,,3282,,,.00
V03828,50063,,,10.476,,10.476,,0,0,,12,,,3283,,,.00
