Number__,Name__,Street__,City__,Country__,PostalCode__,Region__,PhoneNumber__,FaxNumber__,Email__,VATNumber__,CompanyCode__,Currency__,PaymentTermCode__,PostOfficeBox__,TaxSystem__,SupplierDue__,ParafiscalTax__,GeneralAccount__,PreferredInvoiceType__,Sub__,
-Accountant-,,,,,,,,,,,null,1,,,,,,,,
Default Tax Agency MX,,,,,,,,,,,null,5,,,,,,,,
Minister of Finance BC,,,,,,,,,,,null,1,,,,,,,,
Minister of Finance MB,,,,,,,,,,,null,1,,,,,,,,
Minister of Finance NB,,,,,,,,,,,null,1,,,,,,,,
Minister of Finance NS,,,,,,,,,,,null,1,,,,,,,,
Minister of Finance ON,,,,,,,,,,,null,1,,,,,,,,
Minister of Finance SK,,,,,,,,,,,null,1,,,,,,,,
Ministère du Revenu QC,,,,,,,,,,,null,1,,,,,,,,
Newfoundland Exchequer NL,,,,,,,,,,,null,1,,,,,,,,
Provincial Treasurer AB,,,,,,,,,,,null,3,,,,,,,,
Tax Agency AL (Line-X LLC),,,,,,,,,,,null,1,,,,,,,,
Tax Agency CA (Line-X LLC),,,,,,,,,,,null,1,,,,,,,,
Tax Agency DE,,,,,,,,,,,null,1,,,,,,,,
Tax Agency ME,Maine Revenue Services,Maine Revenue Services,Augusta,US,04332-1065,ME,,,,,null,1,,,,,,,,
Tax Agency MI,,,,,,,,,,,null,1,,,,,,,,
Tax Agency MO,,,,,,,,,,,null,1,,,,,,,,
Tax Agency NC,,,,,,,,,,,null,1,,,,,,,,
Tax Agency NJ,,,,,,,,,,,null,1,,,,,,,,
Tax Agency NL,,,,,,,,,,,null,4,,,,,,,,
Tax Agency TX,,,,,,,,,,,null,1,,,,,,,,
Tax Agency WA,,,,,,,,,,,null,1,,,,,,,,
V00002,18 Watercress Green,1 Old Fairway Rd,Huntsville,US,35806,AL,(256) 489-1222,,,,null,1,,,,,,,,
V00003,Blitz Industries Inc.,3810 Fuchsia Cir.,Seal Beach,US,90740,CA,562-362-5489,(562) 596-3315,,87-0689592,null,1,2,,,,,,,
V00004,Five Guys,6652 Strip Avenue Nw,North Canton,US,44720,OH,,,,,null,1,4,,,,,,,
V00005,8X8 Inc.,,,,,,,,,,null,1,,,,,,,,
V00006,AAA Cooper Transportation,Po Box 935003,Atlanta,US,31193-5003,GA,(334) 793-2284,,,63-0364620,null,1,1,,,,,,,
V00007,Accessorie Air Compressor Systems Inc.,1858 North Case Street,Orange,US,92865-4233,CA,(714) 634-2292,(714) 974-3008,,,null,1,12,,,,,,,
V00008,American Aftermarket Group LLC,9109 State Route 250 Nw,Strasburgh,US,44680,OH,,,,,null,1,,,,,,,,
V00009,Arizona Dept. Of Economic Security,P.O. Box 52027,Pheonix,US,85072,AZ,,,,,null,1,4,,,,,,,
V00010,Arizona Dept. Of Revenue,Po Box 29085,Phoenix,US,85038-9085,AZ,,,,,null,1,4,,,,,,,
V00011,Adp Inc.,Po Box 842875,Boston,US,02284-2875,MA,,,,,null,1,16,,,,,,,
V00012,Applied Data Trends,Po Box 638,Huntsville,US,35804,AL,(256) 319-0700,(256) 319-0237,,63-1121582,null,1,4,,,,,,,
V00013,Aerobotix Inc.,125 Jetplex Circle,Madison,US,35758,AL,,,,,null,1,4,,,,,,,
V00014,AFCO,PO Box 120809,Dallas,US,75312-0809,TX,(800) 288-6901,,,,null,1,4,,,,,,,
V00015,Aflac,1932 Wynnton Road,Columbus,US,31999-0001,GA,(800) 992-3522,,,,null,1,4,,,,,,,
V00016,Aicpa.org,,,,,,,,,,null,1,4,,,,,,,
V00017,Ait Ocean Systems Inc Fmc#4285,Po Box 66730,Chicago,US,60666-0730,IL,(800) 669-4248,(406) 532-3112,,,null,1,1,,,,,,,
V00018,Ait Worldwide Logistics,P O Box 66730,Chicago,US,60666-0730,IL,(800) 669-4248,(406) 532-3112,,36-3033973,null,1,1,,,,,,,
V00019,Alabama Concrete Co. Inc.,4200 Stringfield Rd. N.W.,Huntsville,US,35806,AL,(256) 859-0311,,,,null,1,,,,,,,,
V00020,L&W Supply,4930 University Sq NW,Huntsville,US,35816,AL,,(256) 830-8798,,36-2718986,null,1,4,,,,,,,
V00021,State Of Al Department Of Labor,649 Monroe Street,Montgomery,US,36131,AL,,,,,null,1,4,,,,,,,
V00022,Alabama Department Of Revenue,Po Box 327320,Montgomery,US,36132-7320,AL,(334) 353-7923,(334) 242-8915,,,null,1,4,,,,,,,
V00023 (LINE-X Intermediate Holdings LLC),Alabama Department Of Revenue,,,,,,(334) 242-1300,,,,null,1,4,,,,,,,
V00024,Allied Waste Services #794,P.O. Box 78829,Phoenix,US,85062-8829,AZ,(972) 422-2341,,,,null,1,17,,,,,,,
V00025,Alabama Society Of Cpas,Po Box 242987,Montgomery,US,36124-2987,AL,(800) 227-1711,,,,null,1,4,,,,,,,
V00026,Al State Board Of Public Accountancy,Po Box 300375,Montgomery,US,36130-0375,AL,,,,,null,1,4,,,,,,,
V00027,Altec Enterprise,23422 Mill Creek Drive Ste 225,Laguna Hills,US,92653,CA,(949) 727-1248,(949) 597-1271,,,null,1,2,,,,,,,
V00028,Amazon.Com,P.O. Box 530958,Atlanta,US,30353,GA,,,,,null,1,,,,,,,,
V00029,Gutscher  Amberley,1708 Liberty Drive,Madison,US,35758,AL,,,,,null,1,4,,,,,,,
V00030,All American Carriers Inc,Po Box 1895,Kennesaw,US,30156,GA,(678) 564-7700,,,,null,1,2,,,,,,,
V00031,Ameritas Life Insurance Corp.,Po Box 81889,Lincoln,US,68501-1889,NE,,,,,null,1,4,,,,,,,
V00032,American Express,Po Box 650448,Dallas,US,75265-0448,TX,(800) 525-3355,,,,null,1,,,,,,,,
V00033,Castaneda  Andres,514 South Forest Ave.,Santa Ana,US,92703,CA,(209) 507-4376,,,602-23-3540,null,1,4,,,,,,,
V00034,Apex Drum Company Inc,6226 Ferguson Dr,Commerce,US,90022,CA,(323) 723-2008,(323) 721-1096,Noah@Apexdrum.Com,,null,1,2,,,,,,,
V00035,Apex Billing Solutions LLC,Po Box 84077,Columbus,US,31908-4077,GA,,,,,null,1,4,,,,,,,
V00036,Apple Store Bridge Street,6782 Old Madison Pike,Huntsville,US,35806,AL,(256) 327-8800,,,,null,1,,,,,,,,
V00037,Aramark Uniform Services,PO Box 101179,Pasadena,US,91189,CA,(800) 894-4877,(714) 545-3834,,,null,1,15,,,,,,,
V00038,Monument Chemicals,PO Box 78000 Dept 78905,Detroit,US,48278-0905,MI,(270) 422-6453,(509) 448-5587,bbradley@monumentchemical.com,,null,1,2,,,,,,,
V00039,Assurant Employee Benefits,P.O. Box 807009,Kansas City,US,64184,MO,(800) 733-7879,,,,null,1,4,,,,,,,
V00040,Atcheson'S Express LLC,201 E. La Palma Avenue.,Anaheim,US,92801,CA,(714) 808-9199,(714) 808-9799,,95-4373893,null,1,16,,,,,,,
